Subscriber ID,Show,Episodes Watched,Episode Length (m),Total Mins watched,
2000,Walking Dead,2.63,40,105,2000
2000,Lost,0.60,45,27,2000
2000,Weeds,0.27,30,8,2000
2000,Mad Men,0.40,45,18,2000
2000,Pony,0.07,30,2,2000
2000,Lorax,0.03,30,1,2000
1999,Walking Dead,3.20,40,128,1999
1999,Lost,1.13,45,51,1999
1999,Pony,0.17,30,5,1999
1999,Weeds,0.13,30,4,1999
1999,Lorax,0.10,30,3,1999
1999,Mad Men,0.04,45,2,1999
1998,Walking Dead,2.77,40,111,1998
1998,Lost,0.82,45,37,1998
1998,Weeds,0.37,30,11,1998
1998,Mad Men,0.58,45,26,1998
1998,Pony,0.10,30,3,1998
1998,Lorax,0.03,30,1,1998
1997,Walking Dead,2.68,40,107,1997
1997,Lost,0.76,45,34,1997
1997,Mad Men,0.76,45,34,1997
1997,Weeds,0.37,30,11,1997
1997,Lorax,0.23,30,7,1997
1997,Pony,0.17,30,5,1997
1996,Walking Dead,3.22,40,129,1996
1996,Lost,1.27,45,57,1996
1996,Weeds,0.30,30,9,1996
1996,Mad Men,0.36,45,16,1996
1996,Lorax,0.17,30,5,1996
1996,Pony,0.10,30,3,1996
1995,Walking Dead,3.30,40,132,1995
1995,Lost,1.44,45,65,1995
1995,Weeds,0.27,30,8,1995
1995,Mad Men,0.36,45,16,1995
1995,Pony,0.03,30,1,1995
1995,Lorax,0.03,30,1,1995
1994,Walking Dead,3.17,40,127,1994
1994,Lost,1.20,45,54,1994
1994,Weeds,0.20,30,6,1994
1994,Lorax,0.13,30,4,1994
1994,Pony,0.10,30,3,1994
1994,Mad Men,0.13,45,6,1994
1993,Walking Dead,3.57,40,143,1993
1993,Lost,1.58,45,71,1993
1993,Lorax,0.20,30,6,1993
1993,Weeds,0.17,30,5,1993
1993,Pony,0.13,30,4,1993
1993,Mad Men,0.04,45,2,1993
1992,Walking Dead,3.18,40,127,1992
1992,Lost,1.29,45,58,1992
1992,Weeds,0.23,30,7,1992
1992,Mad Men,0.31,45,14,1992
1992,Lorax,0.13,30,4,1992
1992,Pony,0.10,30,3,1992
1991,Walking Dead,2.63,40,105,1991
1991,Lost,0.73,45,33,1991
1991,Mad Men,0.49,45,22,1991
1991,Weeds,0.23,30,7,1991
1991,Pony,0.07,30,2,1991
1991,Lorax,0.03,30,1,1991
1990,Walking Dead,3.02,40,121,1990
1990,Lost,1.11,45,50,1990
1990,Weeds,0.10,30,3,1990
1990,Pony,0.07,30,2,1990
1990,Lorax,0.03,30,1,1990
1990,Mad Men,0.04,45,2,1990
1989,Walking Dead,3.25,40,130,1989
1989,Lost,1.36,45,61,1989
1989,Weeds,0.17,30,5,1989
1989,Mad Men,0.27,45,12,1989
1989,Pony,0.07,30,2,1989
1989,Lorax,0.03,30,1,1989
1988,Walking Dead,2.90,40,116,1988
1988,Lost,1.00,45,45,1988
1988,Lorax,0.23,30,7,1988
1988,Pony,0.20,30,6,1988
1988,Mad Men,0.09,45,4,1988
1988,Weeds,0.03,30,1,1988
1987,Walking Dead,3.42,40,137,1987
1987,Lost,1.60,45,72,1987
1987,Weeds,0.10,30,3,1987
1987,Lorax,0.10,30,3,1987
1987,Pony,0.07,30,2,1987
1987,Mad Men,0.00,45,0,1987
1986,Walking Dead,2.95,40,118,1986
1986,Lost,1.00,45,45,1986
1986,Lorax,0.27,30,8,1986
1986,Pony,0.20,30,6,1986
1986,Weeds,0.13,30,4,1986
1986,Mad Men,0.22,45,10,1986
1985,Walking Dead,2.93,40,117,1985
1985,Lost,1.02,45,46,1985
1985,Pony,0.20,30,6,1985
1985,Lorax,0.13,30,4,1985
1985,Weeds,0.10,30,3,1985
